error_type,text_id,predicted_text,predicted_label,gold_text,gold_label
spurious_entity,8,annual,DATE,,
boundary_error,9,The Green Climate Fund,ORG,Green Climate Fund,ORG
boundary_error,9,Songdo,GPE,Songdo,GPE
boundary_error,9,South Korea,GPE,South Korea,GPE
boundary_error,9,$150 million,MONEY,$150 million,MONEY
boundary_error,9,Bangladesh,GPE,Bangladesh,GPE
boundary_error,9,$90 million,MONEY,$90 million,MONEY
boundary_error,9,the Congo Basin,LOC,Congo Basin,LOC
boundary_error,9,$45 million,MONEY,$45 million,MONEY
spurious_entity,9,Jordan,GPE,,
boundary_error,9,$12 billion,MONEY,$12 billion,MONEY
boundary_error,10,Change Xie Zhenhua,PERSON,Xie Zhenhua,PERSON
boundary_error,10,US,GPE,US,GPE
boundary_error,10,John Kerry,PERSON,John Kerry,PERSON
spurious_entity,10,Sunnylands,GPE,,
boundary_error,10,California,GPE,California,GPE
boundary_error,10,November 2023,DATE,November 2023,DATE
spurious_entity,10,the Paris Agreement,EVENT,,
spurious_entity,11,NASA,ORG,,
spurious_entity,11,Goddard Institute for Space Studies,ORG,,
spurious_entity,11,2023,DATE,,
spurious_entity,11,the warmest year,DATE,,
spurious_entity,11,1.48 degrees Celsius,QUANTITY,,
spurious_entity,11,1850-1900,DATE,,
spurious_entity,11,El Nino,GPE,,
spurious_entity,11,mid-2023,DATE,,
spurious_entity,11,Southern Europe,LOC,,
spurious_entity,11,North Africa,GPE,,
spurious_entity,11,the Middle East,LOC,,
spurious_entity,11,July 2023,DATE,,
spurious_entity,11,the hottest month,DATE,,
spurious_entity,12,Science,GPE,,
spurious_entity,12,January 2024,DATE,,
spurious_entity,12,the Greenland Ice Sheet,ORG,,
spurious_entity,12,approximately 270 billion tonnes,QUANTITY,,
spurious_entity,12,between 2006 and 2022,DATE,,
spurious_entity,12,GRACE,ORG,,
spurious_entity,12,GRACE-FO,ORG,,
spurious_entity,12,approximately 0.7 millimeters,QUANTITY,,
spurious_entity,12,2010,DATE,,
spurious_entity,13,Arctic,LOC,,
spurious_entity,13,sixth,ORDINAL,,
spurious_entity,13,September 2023,DATE,,
spurious_entity,13,the National Snow and Ice Data Center,ORG,,
spurious_entity,13,Boulder,GPE,,
spurious_entity,13,Colorado,GPE,,
spurious_entity,13,15,CARDINAL,,
spurious_entity,13,Arctic sea,LOC,,
spurious_entity,13,the last 15 years,DATE,,
spurious_entity,14,the Great Barrier Reef Foundation,FAC,,
spurious_entity,14,fourth,ORDINAL,,
spurious_entity,14,seven years,DATE,,
spurious_entity,14,March 2024,DATE,,
spurious_entity,14,2 degrees,QUANTITY,,
spurious_entity,14,14 consecutive days,DATE,,
spurious_entity,14,75%,PERCENT,,
spurious_entity,14,"over 1,500",CARDINAL,,
spurious_entity,14,400,CARDINAL,,
spurious_entity,15,the Max Planck Institute for Meteorology,ORG,,
spurious_entity,15,Nature Geoscience,WORK_OF_ART,,
spurious_entity,15,the Atlantic Meridional Overturning Circulation,ORG,,
spurious_entity,15,approximately 15%,PERCENT,,
spurious_entity,15,1950,DATE,,
spurious_entity,15,AMOC,ORG,,
spurious_entity,15,the North Atlantic,LOC,,
spurious_entity,15,Northern Europe,LOC,,
spurious_entity,15,US,GPE,,
spurious_entity,15,East Coast,LOC,,
spurious_entity,16,Atmospheric CO2,PERSON,,
spurious_entity,16,the Mauna Loa Observatory,FAC,,
spurious_entity,16,Hawaii,GPE,,
spurious_entity,16,424.0,CARDINAL,,
spurious_entity,16,May 2024,DATE,,
spurious_entity,16,NOAA,ORG,,
spurious_entity,16,2.8,CARDINAL,,
spurious_entity,16,the previous year,DATE,,
spurious_entity,16,1958,DATE,,
spurious_entity,16,approximately 50%,PERCENT,,
spurious_entity,16,280,CARDINAL,,
spurious_entity,17,the University of Leeds,ORG,,
spurious_entity,17,227 billion tonnes,QUANTITY,,
spurious_entity,17,2000-2009,DATE,,
spurious_entity,17,298 billion tonnes,QUANTITY,,
spurious_entity,17,2010-2019,DATE,,
spurious_entity,17,Geophysical Research Letters,ORG,,
spurious_entity,17,"217,175",CARDINAL,,
spurious_entity,17,Himalayan,NORP,,
spurious_entity,17,the early 2000s,DATE,,
spurious_entity,17,1.9 billion,CARDINAL,,
spurious_entity,18,The World Meteorological Organization,ORG,,
spurious_entity,18,4.5 millimeters,QUANTITY,,
spurious_entity,18,2023,DATE,,
spurious_entity,18,annual,DATE,,
spurious_entity,18,1993,DATE,,
spurious_entity,18,approximately 40%,PERCENT,,
spurious_entity,18,WMO,ORG,,
spurious_entity,18,Celeste Saulo,PERSON,,
spurious_entity,18,decades,DATE,,
spurious_entity,19,the National Academy of Sciences,ORG,,
spurious_entity,19,Siberia,LOC,,
spurious_entity,19,Alaska,GPE,,
spurious_entity,19,approximately 600 million tonnes,QUANTITY,,
spurious_entity,19,CO2,PRODUCT,,
spurious_entity,19,2022,DATE,,
spurious_entity,19,80,CARDINAL,,
spurious_entity,19,20-year,DATE,,
spurious_entity,19,"roughly 1,500 billion tonnes",QUANTITY,,
spurious_entity,20,the Potsdam Institute for Climate Impact Research,ORG,,
spurious_entity,20,1.5 degree,QUANTITY,,
spurious_entity,20,five,CARDINAL,,
spurious_entity,20,the Greenland Ice Sheet,ORG,,
spurious_entity,20,the West Antarctic Ice Sheet,LOC,,
spurious_entity,20,the Atlantic Meridional Overturning Circulation,ORG,,
spurious_entity,20,Science,GPE,,
spurious_entity,20,September 2023,DATE,,
spurious_entity,21,The European Space Agency's,ORG,,
spurious_entity,21,Copernicus Climate Change Service,ORG,,
spurious_entity,21,September 2023,DATE,,
spurious_entity,21,1.75 degrees,QUANTITY,,
spurious_entity,21,0.5 degrees,QUANTITY,,
spurious_entity,21,El Nino,GPE,,
spurious_entity,21,Saharan,GPE,,
spurious_entity,21,Antarctic sea,LOC,,
spurious_entity,21,Copernicus,ORG,,
spurious_entity,21,Carlo Buontempo,PERSON,,
spurious_entity,22,30%,PERCENT,,
spurious_entity,22,1800,DATE,,
spurious_entity,22,CO2,PRODUCT,,
spurious_entity,22,Annual Review of Marine Science,ORG,,
spurious_entity,22,8.1,CARDINAL,,
spurious_entity,22,8.2,CARDINAL,,
spurious_entity,22,the Southern Ocean,LOC,,
spurious_entity,22,Arctic,LOC,,
spurious_entity,23,The Dead Sea,LOC,,
spurious_entity,23,approximately one-third,CARDINAL,,
spurious_entity,23,1960,DATE,,
spurious_entity,23,more than 1 meter,QUANTITY,,
spurious_entity,23,the Jordan River,LOC,,
spurious_entity,23,"7,000",CARDINAL,,
spurious_entity,23,Jordan,GPE,,
spurious_entity,23,the West Bank,GPE,,
spurious_entity,24,Mediterranean,LOC,,
spurious_entity,24,the summer of 2023,DATE,,
spurious_entity,24,"400,000",CARDINAL,,
spurious_entity,24,Greece,GPE,,
spurious_entity,24,Turkey,GPE,,
spurious_entity,24,Algeria,GPE,,
spurious_entity,24,Tunisia,GPE,,
spurious_entity,24,48 degrees,QUANTITY,,
spurious_entity,24,Sicily,GPE,,
spurious_entity,24,European,NORP,,
spurious_entity,24,"20,000",CARDINAL,,
spurious_entity,24,an estimated $3.5 billion,MONEY,,
spurious_entity,24,Mediterranean,LOC,,
spurious_entity,24,40 days,DATE,,
spurious_entity,24,the 1980s,DATE,,
spurious_entity,25,Pacific Island,LOC,,
spurious_entity,25,Tuvalu,GPE,,
spurious_entity,25,Kiribati,GPE,,
spurious_entity,25,up to 50%,PERCENT,,
spurious_entity,25,the Marshall Islands',GPE,,
spurious_entity,25,2100,CARDINAL,,
spurious_entity,25,just 2 meters,QUANTITY,,
spurious_entity,25,2023,DATE,,
spurious_entity,25,Tuvalu,ORG,,
spurious_entity,25,Australia,GPE,,
spurious_entity,25,up to 280,CARDINAL,,
spurious_entity,26,Flash,PERSON,,
spurious_entity,26,Derna,GPE,,
spurious_entity,26,Libya,GPE,,
spurious_entity,26,September 2023,DATE,,
spurious_entity,26,"over 11,000",CARDINAL,,
spurious_entity,26,"40,000",CARDINAL,,
spurious_entity,26,Storm Daniel,ORG,,
spurious_entity,26,two,CARDINAL,,
spurious_entity,26,414 millimeters,QUANTITY,,
spurious_entity,26,24 hours,TIME,,
spurious_entity,26,annual,DATE,,
spurious_entity,26,270,CARDINAL,,
spurious_entity,26,50,CARDINAL,,
spurious_entity,26,50%,PERCENT,,
spurious_entity,27,Jordan,GPE,,
spurious_entity,27,approximately 80 cubic meters,QUANTITY,,
spurious_entity,27,500 cubic meters,QUANTITY,,
spurious_entity,27,the Jordan Valley,LOC,,
spurious_entity,28,25%,PERCENT,,
spurious_entity,28,2000,DATE,,
spurious_entity,28,the African Union's Climate Research Centre,ORG,,
spurious_entity,28,Mediterranean,LOC,,
spurious_entity,28,Southern Europe,LOC,,
spurious_entity,28,up to 30%,PERCENT,,
spurious_entity,28,March 2024,DATE,,
spurious_entity,28,Scandinavia,LOC,,
spurious_entity,29,Amman,GPE,,
spurious_entity,29,2023,DATE,,
spurious_entity,29,40 degrees,QUANTITY,,
spurious_entity,29,18 separate days,DATE,,
spurious_entity,29,August,DATE,,
spurious_entity,29,The Jordanian Department of Meteorology,ORG,,
spurious_entity,29,summer,DATE,,
spurious_entity,29,2.1 degrees,QUANTITY,,
spurious_entity,29,1970,DATE,,
spurious_entity,29,35%,PERCENT,,
spurious_entity,29,2018-2022,DATE,,
spurious_entity,30,The IPCC Working Group II,ORG,,
spurious_entity,30,21%,PERCENT,,
spurious_entity,30,1961,DATE,,
spurious_entity,30,South Asia,LOC,,
spurious_entity,30,Sub-Saharan Africa,ORG,,
spurious_entity,30,10-25%,PERCENT,,
spurious_entity,30,2 degrees,QUANTITY,,
spurious_entity,30,3.3 to 3.6 billion,QUANTITY,,
spurious_entity,31,Hurricane Otis,EVENT,,
spurious_entity,31,Acapulco,GPE,,
spurious_entity,31,Mexico,GPE,,
spurious_entity,31,"October 25, 2023",DATE,,
spurious_entity,31,270 kilometers per hour,QUANTITY,,
spurious_entity,31,Category 5,LAW,,
spurious_entity,31,just 12 hours,TIME,,
spurious_entity,31,the Eastern Pacific,LOC,,
spurious_entity,31,over $16 billion,MONEY,,
spurious_entity,31,at least 52,CARDINAL,,
spurious_entity,32,Sahel,PERSON,,
spurious_entity,32,Africa,LOC,,
spurious_entity,32,a decade,DATE,,
spurious_entity,32,2023,DATE,,
spurious_entity,32,45 million,CARDINAL,,
spurious_entity,32,Burkina Faso,GPE,,
spurious_entity,32,Mali,PERSON,,
spurious_entity,32,Niger,PERSON,,
spurious_entity,32,Chad,GPE,,
spurious_entity,32,The World Food Programme,ORG,,
spurious_entity,32,12 million,CARDINAL,,
spurious_entity,32,millions,CARDINAL,,
spurious_entity,33,Himalayas,FAC,,
spurious_entity,33,10,CARDINAL,,
spurious_entity,33,1990,DATE,,
spurious_entity,33,October 2023,DATE,,
spurious_entity,33,GLOF,ORG,,
spurious_entity,33,Sikkim,GPE,,
spurious_entity,33,India,GPE,,
spurious_entity,33,Teesta III,PERSON,,
spurious_entity,33,over 40,CARDINAL,,
spurious_entity,33,23 billion dollar,MONEY,,
spurious_entity,33,less than a year,DATE,,
spurious_entity,33,"over 5,000",CARDINAL,,
spurious_entity,33,Hindu,NORP,,
spurious_entity,33,Kush Himalaya,PERSON,,
spurious_entity,34,approximately 500 million,CARDINAL,,
spurious_entity,34,70-90%,PERCENT,,
spurious_entity,34,1.5 degrees,QUANTITY,,
spurious_entity,34,2 degrees,QUANTITY,,
spurious_entity,34,$375 billion,MONEY,,
spurious_entity,34,Caribbean,LOC,,
spurious_entity,34,50%,PERCENT,,
spurious_entity,34,1970,DATE,,
spurious_entity,35,Jordan,GPE,,
spurious_entity,35,Disi Water Conveyance Project,ORG,,
spurious_entity,35,2013,DATE,,
spurious_entity,35,$990 million,MONEY,,
spurious_entity,35,100 million cubic meters,QUANTITY,,
spurious_entity,35,annually,DATE,,
spurious_entity,35,Disi,NORP,,
spurious_entity,35,Amman,GPE,,
spurious_entity,35,Aqaba,GPE,,
spurious_entity,35,50 years,DATE,,
spurious_entity,36,The Kingdom of Jordan,GPE,,
spurious_entity,36,200-megawatt,QUANTITY,,
spurious_entity,36,Mafraq,GPE,,
spurious_entity,36,January 2024,DATE,,
spurious_entity,36,"2,400 megawatts",QUANTITY,,
spurious_entity,36,Jordan,PERSON,,
spurious_entity,36,50%,PERCENT,,
spurious_entity,36,2030,DATE,,
spurious_entity,36,29%,PERCENT,,
spurious_entity,36,2023,DATE,,
spurious_entity,36,Mafraq,GPE,,
spurious_entity,36,the European Bank for Reconstruction and Development,ORG,,
spurious_entity,36,"approximately 110,000",CARDINAL,,
spurious_entity,37,Singapore,GPE,,
spurious_entity,37,$72 billion,MONEY,,
spurious_entity,37,100 years,DATE,,
spurious_entity,37,up to 4 meters,QUANTITY,,
spurious_entity,37,The Tuas Nexus,ORG,,
spurious_entity,37,2025,DATE,,
spurious_entity,38,UNEP,ORG,,
spurious_entity,38,Adaptation Gap Report,ORG,,
spurious_entity,38,2023,DATE,,
spurious_entity,38,10 to 18,CARDINAL,,
spurious_entity,38,annual,DATE,,
spurious_entity,38,215,MONEY,,
spurious_entity,38,$387 billion,MONEY,,
spurious_entity,38,Only $21 billion,MONEY,,
spurious_entity,38,2021,DATE,,
spurious_entity,39,Netherlands,GPE,,
spurious_entity,39,River,LOC,,
spurious_entity,39,2019,DATE,,
spurious_entity,39,2.3 billion,CARDINAL,,
spurious_entity,39,34,CARDINAL,,
spurious_entity,39,"the Rhine, Meuse",ORG,,
spurious_entity,39,Europe,LOC,,
spurious_entity,40,Kenya,GPE,,
spurious_entity,40,Great Green Wall,FAC,,
spurious_entity,40,over 15 million,CARDINAL,,
spurious_entity,40,400-kilometer,QUANTITY,,
spurious_entity,40,2020,DATE,,
spurious_entity,40,"12,000",CARDINAL,,
spurious_entity,40,"5,000",CARDINAL,,
spurious_entity,40,FAO,ORG,,
spurious_entity,40,the World Bank,ORG,,
spurious_entity,41,Bangladesh,GPE,,
spurious_entity,41,1972,DATE,,
spurious_entity,41,Red Cross,ORG,,
spurious_entity,41,over 99%,PERCENT,,
spurious_entity,41,"76,000",CARDINAL,,
spurious_entity,41,"4,000",CARDINAL,,
spurious_entity,41,35 million,CARDINAL,,
spurious_entity,41,12,MONEY,,
spurious_entity,41,annual,DATE,,
spurious_entity,41,one,CARDINAL,,
spurious_entity,42,Abu Dhabi's,ORG,,
spurious_entity,42,Masdar City,GPE,,
spurious_entity,42,15 to,CARDINAL,,
spurious_entity,42,20 degrees,QUANTITY,,
spurious_entity,42,10-megawatt,QUANTITY,,
spurious_entity,42,2024,DATE,,
spurious_entity,42,Masdar City,GPE,,
spurious_entity,42,"6,000",CARDINAL,,
spurious_entity,42,600,CARDINAL,,
spurious_entity,42,the International Renewable Energy Agency,ORG,,
spurious_entity,43,Amman,GPE,,
spurious_entity,43,Climate Action Plan,LAW,,
spurious_entity,43,2021,DATE,,
spurious_entity,43,40%,PERCENT,,
spurious_entity,43,2030,DATE,,
spurious_entity,43,"300,000",CARDINAL,,
spurious_entity,43,daily,DATE,,
spurious_entity,43,"25,000",CARDINAL,,
spurious_entity,44,Israel,GPE,,
spurious_entity,44,2025,DATE,,
spurious_entity,44,200 million cubic meters,QUANTITY,,
spurious_entity,44,annually,DATE,,
spurious_entity,44,0.40,MONEY,,
spurious_entity,44,Israel,GPE,,
spurious_entity,44,80%,PERCENT,,
spurious_entity,45,Costa Rica,GPE,,
spurious_entity,45,99.5%,PERCENT,,
spurious_entity,45,2023,DATE,,
spurious_entity,45,98%,PERCENT,,
spurious_entity,45,nine consecutive years,DATE,,
spurious_entity,45,Costa Rica's,GPE,,
spurious_entity,45,National Decarbonization Plan,ORG,,
spurious_entity,45,2050,DATE,,
spurious_entity,45,"60,000",CARDINAL,,
spurious_entity,45,2025,DATE,,
spurious_entity,46,The African Development Bank's,ORG,,
spurious_entity,46,10,CARDINAL,,
spurious_entity,46,11,CARDINAL,,
spurious_entity,46,Sahel,PRODUCT,,
spurious_entity,46,2030,DATE,,
spurious_entity,46,250 million,CARDINAL,,
spurious_entity,46,2024,DATE,,
spurious_entity,46,3.2,CARDINAL,,
spurious_entity,46,rural health clinics,ORG,,
spurious_entity,46,"15,000",CARDINAL,,
spurious_entity,47,India,GPE,,
spurious_entity,47,Nationally Determined Contribution,ORG,,
spurious_entity,47,50%,PERCENT,,
spurious_entity,47,2030,DATE,,
spurious_entity,47,45%,PERCENT,,
spurious_entity,47,2005,DATE,,
spurious_entity,47,Narendra Modi,PERSON,,
spurious_entity,47,Glasgow,GPE,,
spurious_entity,47,November 2021,DATE,,
spurious_entity,47,2070,DATE,,
spurious_entity,48,COP27,GPE,,
spurious_entity,48,Sharm el-Sheikh,GPE,,
spurious_entity,48,$792 million,MONEY,,
spurious_entity,48,Germany,GPE,,
spurious_entity,48,UAE,ORG,,
spurious_entity,48,$100 million,MONEY,,
spurious_entity,48,United Kingdom,GPE,,
spurious_entity,48,$75 million,MONEY,,
spurious_entity,48,the estimated $400 billion,MONEY,,
spurious_entity,48,annual,DATE,,
spurious_entity,49,Brazil,GPE,,
spurious_entity,49,Ministry of Environment and Climate Change,ORG,,
spurious_entity,49,August 2023,DATE,,
spurious_entity,49,Amazon,ORG,,
spurious_entity,49,48%,PERCENT,,
spurious_entity,49,the first seven months,DATE,,
spurious_entity,49,Lula da Silva,PERSON,,
spurious_entity,49,2022,DATE,,
spurious_entity,49,IBAMA,ORG,,
spurious_entity,49,the Amazon Fund,ORG,,
spurious_entity,49,$500 million,MONEY,,
spurious_entity,49,Norway,GPE,,
spurious_entity,49,Germany,GPE,,
spurious_entity,50,The International Energy Agency's,ORG,,
spurious_entity,50,Net Zero,ORG,,
spurious_entity,50,2050,DATE,,
spurious_entity,50,2021,DATE,,
spurious_entity,50,annual,DATE,,
spurious_entity,50,$4 trillion,MONEY,,
spurious_entity,50,2030,DATE,,
spurious_entity,50,$1.3 trillion,MONEY,,
spurious_entity,50,2022,DATE,,
spurious_entity,50,IEA,ORG,,
spurious_entity,50,Fatih Birol,PERSON,,
spurious_entity,51,Saudi Arabia's,GPE,,
spurious_entity,51,Vision 2030,ORG,,
spurious_entity,51,50%,PERCENT,,
spurious_entity,51,$500 billion,MONEY,,
spurious_entity,51,"2,600-megawatt",QUANTITY,,
spurious_entity,51,Sudair,ORG,,
spurious_entity,51,278 million tonnes,QUANTITY,,
spurious_entity,51,annually,DATE,,
spurious_entity,51,2030,DATE,,
spurious_entity,51,Saudi,NORP,,
spurious_entity,51,Green Initiative,GPE,,
spurious_entity,51,Middle East Green Initiative,LOC,,
spurious_entity,51,50 billion,CARDINAL,,
spurious_entity,52,The Kigali Amendment,LAW,,
spurious_entity,52,the Montreal Protocol,LAW,,
spurious_entity,52,January 2019,DATE,,
spurious_entity,52,80%,PERCENT,,
spurious_entity,52,2047,DATE,,
spurious_entity,52,thousands,CARDINAL,,
spurious_entity,52,UNEP,ORG,,
spurious_entity,52,the Kigali Amendment,LAW,,
spurious_entity,52,0.5 degrees,QUANTITY,,
spurious_entity,52,2100,DATE,,
spurious_entity,53,Jordanian,NORP,,
spurious_entity,53,the Renewable Energy and Energy Efficiency Law,ORG,,
spurious_entity,53,December 2023,DATE,,
spurious_entity,53,$50 million,MONEY,,
spurious_entity,53,the Central Bank of Jordan,ORG,,
spurious_entity,54,Nature Communications,ORG,,
spurious_entity,54,February 2024,DATE,,
spurious_entity,54,Arctic,LOC,,
spurious_entity,54,first,ORDINAL,,
spurious_entity,54,September,DATE,,
spurious_entity,54,a decade earlier,DATE,,
spurious_entity,54,40 years,DATE,,
spurious_entity,54,2050,DATE,,
spurious_entity,55,CO2,PRODUCT,,
spurious_entity,55,36.8 billion tonnes,QUANTITY,,
spurious_entity,55,2023,DATE,,
spurious_entity,55,1.1%,PERCENT,,
spurious_entity,55,2022,DATE,,
spurious_entity,55,1.0%,PERCENT,,
spurious_entity,55,15.5 billion tonnes,QUANTITY,,
spurious_entity,55,1.5%,PERCENT,,
spurious_entity,55,0.5%,PERCENT,,
spurious_entity,55,India,GPE,,
spurious_entity,55,China,GPE,,
spurious_entity,55,the European Union,ORG,,
spurious_entity,55,7.4%,PERCENT,,
spurious_entity,56,"1,923",CARDINAL,,
spurious_entity,56,2023,DATE,,
spurious_entity,56,more than 2.5,CARDINAL,,
spurious_entity,56,722,CARDINAL,,
spurious_entity,56,March 2024,DATE,,
spurious_entity,56,80,CARDINAL,,
spurious_entity,56,CO2,PRODUCT,,
spurious_entity,56,20-year,DATE,,
spurious_entity,57,The British Antarctic Survey,ORG,,
spurious_entity,57,February 2024,DATE,,
spurious_entity,57,Antarctic sea,LOC,,
spurious_entity,57,9,CARDINAL,,
spurious_entity,57,the preceding 12 months,DATE,,
spurious_entity,57,2.6 million square kilometers,QUANTITY,,
spurious_entity,57,1981-2010,DATE,,
spurious_entity,57,Antarctic ice,LOC,,
spurious_entity,58,ETH Zurich,ORG,,
spurious_entity,58,Nature,WORK_OF_ART,,
spurious_entity,58,2023 summer,DATE,,
spurious_entity,58,the Northern Hemisphere,LOC,,
spurious_entity,58,The World Weather Attribution,ORG,,
spurious_entity,58,July 2023,DATE,,
spurious_entity,58,Southern Europe,LOC,,
spurious_entity,58,North Africa,GPE,,
spurious_entity,58,the Middle East,LOC,,
spurious_entity,58,approximately 2.5 degrees,QUANTITY,,
spurious_entity,58,Phoenix,GPE,,
spurious_entity,58,Arizona,GPE,,
spurious_entity,58,31 consecutive days,DATE,,
spurious_entity,58,43 degrees,QUANTITY,,
spurious_entity,59,Pakistan,GPE,,
spurious_entity,59,August,DATE,,
spurious_entity,59,September 2022,DATE,,
spurious_entity,59,one-third,CARDINAL,,
spurious_entity,59,33 million,CARDINAL,,
spurious_entity,59,over $30 billion,MONEY,,
spurious_entity,59,190%,PERCENT,,
spurious_entity,59,Karakoram,LOC,,
spurious_entity,59,Hindu Kush,PERSON,,
spurious_entity,59,The World Health Organization,ORG,,
spurious_entity,59,"1,739",CARDINAL,,
spurious_entity,59,8 million,CARDINAL,,
spurious_entity,60,the United States,GPE,,
spurious_entity,60,$92.9 billion,MONEY,,
spurious_entity,60,2023,DATE,,
spurious_entity,60,NOAA,ORG,,
spurious_entity,60,28,CARDINAL,,
spurious_entity,60,billion-dollar,MONEY,,
spurious_entity,60,Hawaii,GPE,,
spurious_entity,60,Lahaina,GPE,,
spurious_entity,60,100,CARDINAL,,
spurious_entity,61,The World Health Organization,ORG,,
spurious_entity,61,"approximately 250,000",CARDINAL,,
spurious_entity,61,between 2030,DATE,,
spurious_entity,61,2050,DATE,,
spurious_entity,61,The Lancet Countdown on Health and Climate Change,ORG,,
spurious_entity,61,68%,PERCENT,,
spurious_entity,61,between 2000 and 2022,DATE,,
spurious_entity,61,the Middle East,LOC,,
spurious_entity,61,South Asia,LOC,,
spurious_entity,62,East Africa,GPE,,
spurious_entity,62,2020-2023,DATE,,
spurious_entity,62,40 years,DATE,,
spurious_entity,62,36 million,CARDINAL,,
spurious_entity,62,Kenya,GPE,,
spurious_entity,62,Somalia,GPE,,
spurious_entity,62,Ethiopia,GPE,,
spurious_entity,62,Five,CARDINAL,,
spurious_entity,62,over 13 million,CARDINAL,,
spurious_entity,62,late 2023,DATE,,
spurious_entity,62,2.4 million,CARDINAL,,
spurious_entity,62,Somalia,GPE,,
spurious_entity,63,Amman,GPE,,
spurious_entity,63,the 2023 summer,DATE,,
spurious_entity,63,75 micrograms per cubic meter,QUANTITY,,
spurious_entity,63,12 days,DATE,,
spurious_entity,63,three,CARDINAL,,
spurious_entity,63,WHO,ORG,,
spurious_entity,63,25,CARDINAL,,
spurious_entity,63,4.2 million,CARDINAL,,
spurious_entity,63,The Ministry of Health,ORG,,
spurious_entity,64,2023,DATE,,
spurious_entity,64,the Internal Displacement Monitoring Centre,ORG,,
spurious_entity,64,26.4 million,CARDINAL,,
spurious_entity,64,The Middle East,LOC,,
spurious_entity,64,North Africa,GPE,,
spurious_entity,64,1.2 million,CARDINAL,,
spurious_entity,64,Libya,GPE,,
spurious_entity,64,Levant,GPE,,
spurious_entity,64,UNHCR,ORG,,
spurious_entity,64,Jordan,GPE,,
spurious_entity,64,Lebanon,GPE,,
spurious_entity,64,Turkey,GPE,,
spurious_entity,65,Morocco,GPE,,
spurious_entity,65,Noor-Ouarzazate,ORG,,
spurious_entity,65,one,CARDINAL,,
spurious_entity,65,580 megawatts,QUANTITY,,
spurious_entity,65,up to 7 hours,TIME,,
spurious_entity,65,$2.5 billion,MONEY,,
spurious_entity,65,Morocco,GPE,,
spurious_entity,65,CO2,PRODUCT,,
spurious_entity,65,"760,000 tonnes",QUANTITY,,
spurious_entity,65,annually,DATE,,
spurious_entity,65,Morocco,GPE,,
spurious_entity,65,52%,PERCENT,,
spurious_entity,65,2030,DATE,,
spurious_entity,65,Sahara,LOC,,
spurious_entity,65,Europe,LOC,,
spurious_entity,66,Sahara,LOC,,
spurious_entity,66,Sahel Initiative,PERSON,,
spurious_entity,66,2007,DATE,,
spurious_entity,66,100 million,CARDINAL,,
spurious_entity,66,"8,000 kilometers",QUANTITY,,
spurious_entity,66,Senegal,GPE,,
spurious_entity,66,Djibouti,GPE,,
spurious_entity,66,2024,DATE,,
spurious_entity,66,approximately 18 million,QUANTITY,,
spurious_entity,66,UNEP,ORG,,
spurious_entity,66,20,CARDINAL,,
spurious_entity,66,African,NORP,,
spurious_entity,66,$19 billion,MONEY,,
spurious_entity,66,the One Planet Summit,ORG,,
spurious_entity,66,January 2021,DATE,,
spurious_entity,67,Denmark,GPE,,
spurious_entity,67,Kalundborg Symbiosis,ORG,,
spurious_entity,67,1972,DATE,,
spurious_entity,67,Nine,CARDINAL,,
spurious_entity,67,"5,000",CARDINAL,,
